deck_type,num_decks,random_seed,gen_time,file_size,write_time,read_time
DeckStack_npy,10000,70,0 days 00:00:00.017243,0.49603271484375,0:00:00.010866,0:00:00.068678
DeckStack_bin,10000,71,0 days 00:00:00.081014,0.49591064453125,0:00:00.005959,0:00:00.016077
DeckStack_npy,10000,72,0 days 00:00:00.017768,0.49603271484375,0:00:00,0:00:00.050830
DeckStack_bin,10000,73,0 days 00:00:00.074870,0.49591064453125,0:00:00.001508,0:00:00.014464
DeckStack_npy,10000,74,0 days 00:00:00.016100,0.49603271484375,0:00:00.003379,0:00:00.062139
DeckStack_bin,10000,75,0 days 00:00:00.095028,0.49591064453125,0:00:00.009000,0:00:00.016877
DeckStack_npy,10000,76,0 days 00:00:00.021875,0.49603271484375,0:00:00.010002,0:00:00.051400
DeckStack_bin,10000,77,0 days 00:00:00.101689,0.49591064453125,0:00:00.011955,0:00:00.019581
DeckStack_npy,10000,78,0 days 00:00:00.016124,0.49603271484375,0:00:00.021835,0:00:00.057828
DeckStack_bin,10000,79,0 days 00:00:00.095909,0.49591064453125,0:00:00.004010,0:00:00.038915
DeckStack_npy,10000,80,0 days 00:00:00.016982,0.49603271484375,0:00:00,0:00:00.062449
DeckStack_bin,10000,81,0 days 00:00:00.094969,0.49591064453125,0:00:00,0:00:00.026165
DeckStack_npy,10000,82,0 days 00:00:00.016125,0.49603271484375,0:00:00.013551,0:00:00.066231
DeckStack_bin,10000,83,0 days 00:00:00.095601,0.49591064453125,0:00:00,0:00:00.047713
DeckStack_npy,10000,84,0 days 00:00:00.015721,0.49603271484375,0:00:00,0:00:00.063645
DeckStack_bin,10000,85,0 days 00:00:00.095062,0.49591064453125,0:00:00.008660,0:00:00.023066
DeckStack_npy,10000,86,0 days 00:00:00.016175,0.49603271484375,0:00:00.025319,0:00:00.054074
DeckStack_bin,10000,87,0 days 00:00:00.095721,0.49591064453125,0:00:00.008597,0:00:00.007193
DeckStack_npy,10000,88,0 days 00:00:00.009048,0.49603271484375,0:00:00.011835,0:00:00.067682
DeckStack_bin,10000,89,0 days 00:00:00.092627,0.49591064453125,0:00:00,0:00:00.031598
DeckStack_npy,10000,90,0 days 00:00:00.015877,0.49603271484375,0:00:00.003686,0:00:00.044575
DeckStack_bin,10000,91,0 days 00:00:00.095161,0.49591064453125,0:00:00,0:00:00.026656
DeckStack_npy,10000,92,0 days 00:00:00.034950,0.49603271484375,0:00:00.016144,0:00:00.047952
DeckStack_bin,10000,93,0 days 00:00:00.095971,0.49591064453125,0:00:00,0:00:00.024252
DeckStack_npy,10000,94,0 days 00:00:00.016087,0.49603271484375,0:00:00.023328,0:00:00.056312
DeckStack_bin,10000,95,0 days 00:00:00.090996,0.49591064453125,0:00:00.016090,0:00:00.022187
DeckStack_npy,10000,96,0 days 00:00:00.017266,0.49603271484375,0:00:00.010271,0:00:00.063660
DeckStack_bin,10000,97,0 days 00:00:00.086799,0.49591064453125,0:00:00.003623,0:00:00.008237
DeckStack_npy,10000,98,0 days 00:00:00.015894,0.49603271484375,0:00:00,0:00:00.064546
DeckStack_bin,10000,99,0 days 00:00:00.096471,0.49591064453125,0:00:00,0:00:00.031603
DeckStack_npy,10000,100,0 days 00:00:00.005845,0.49603271484375,0:00:00.001764,0:00:00.458911
DeckStack_bin,10000,101,0 days 00:00:00.106206,0.49591064453125,0:00:00.007694,0:00:00.021976
DeckStack_npy,10000,102,0 days 00:00:00.019248,0.49603271484375,0:00:00.011893,0:00:00.062131
DeckStack_bin,10000,103,0 days 00:00:00.079924,0.49591064453125,0:00:00,0:00:00.016023
DeckStack_npy,10000,104,0 days 00:00:00.021584,0.49603271484375,0:00:00,0:00:00.044608
DeckStack_bin,10000,105,0 days 00:00:00.095717,0.49591064453125,0:00:00.012167,0:00:00.003584
DeckStack_npy,10000,106,0 days 00:00:00.031856,0.49603271484375,0:00:00.010995,0:00:00.068367
DeckStack_bin,10000,107,0 days 00:00:00.094973,0.49591064453125,0:00:00.005451,0:00:00.016144
DeckStack_npy,10000,108,0 days 00:00:00.007717,0.49603271484375,0:00:00.024400,0:00:00.070546
DeckStack_bin,10000,109,0 days 00:00:00.095152,0.49591064453125,0:00:00,0:00:00.015856
DeckStack_npy,10000,110,0 days 00:00:00.015787,0.49603271484375,0:00:00.019871,0:00:00.078593
DeckStack_bin,10000,111,0 days 00:00:00.084362,0.49591064453125,0:00:00.006670,0:00:00.015787
DeckStack_npy,10000,112,0 days 00:00:00.018762,0.49603271484375,0:00:00,0:00:00.047317
DeckStack_bin,10000,113,0 days 00:00:00.088678,0.49591064453125,0:00:00,0:00:00.025795
DeckStack_npy,10000,114,0 days 00:00:00.032000,0.49603271484375,0:00:00.004492,0:00:00.058459
DeckStack_bin,10000,115,0 days 00:00:00.095209,0.49591064453125,0:00:00.014105,0:00:00.017693
DeckStack_npy,10000,116,0 days 00:00:00.026389,0.49603271484375,0:00:00,0:00:00.061485
DeckStack_bin,10000,117,0 days 00:00:00.086876,0.49591064453125,0:00:00,0:00:00.034418
DeckStack_npy,10000,118,0 days 00:00:00.018746,0.49603271484375,0:00:00.010860,0:00:00.062138
DeckStack_bin,10000,119,0 days 00:00:00.094820,0.49591064453125,0:00:00,0:00:00.016083
DeckStack_npy,10000,120,0 days 00:00:00.015684,0.49603271484375,0:00:00.010767,0:00:00.082915
DeckStack_bin,10000,121,0 days 00:00:00.090331,0.49591064453125,0:00:00.017650,0:00:00.018774
DeckStack_npy,10000,122,0 days 00:00:00.006045,0.49603271484375,0:00:00,0:00:00.047697
DeckStack_bin,10000,123,0 days 00:00:00.079445,0.49591064453125,0:00:00.015770,0:00:00.015923
DeckStack_npy,10000,124,0 days 00:00:00.023960,0.49603271484375,0:00:00.020793,0:00:00.059263
DeckStack_bin,10000,125,0 days 00:00:00.082598,0.49591064453125,0:00:00.015677,0:00:00.015895
DeckStack_npy,10000,126,0 days 00:00:00.024703,0.49603271484375,0:00:00.009365,0:00:00.052434
DeckStack_bin,10000,127,0 days 00:00:00.088694,0.49591064453125,0:00:00,0:00:00.031828
DeckStack_npy,10000,128,0 days 00:00:00.024399,0.49603271484375,0:00:00.010094,0:00:00.060399
DeckStack_bin,10000,129,0 days 00:00:00.090997,0.49591064453125,0:00:00.007106,0:00:00.027736
DeckStack_npy,10000,130,0 days 00:00:00.019254,0.49603271484375,0:00:00.009612,0:00:00.048860
DeckStack_bin,10000,131,0 days 00:00:00.095752,0.49591064453125,0:00:00.005978,0:00:00.011055
