deck_type,num_decks,random_seed,gen_time,file_size,write_time,read_time
DeckStack_bin,10000,43,0 days 00:00:00.097914,0.49591064453125,0:00:00.007911,0:00:00.016116
DeckStack_npy,10000,44,0 days 00:00:00.018663,0.49603271484375,0:00:00.038126,0:00:00.116448
DeckStack_bin,10000,45,0 days 00:00:00.086706,0.49591064453125,0:00:00.003114,0:00:00.033937
DeckStack_npy,10000,46,0 days 00:00:00.016705,0.49603271484375,0:00:00.038277,0:00:00.109764
DeckStack_bin,10000,47,0 days 00:00:00.105013,0.49591064453125,0:00:00.001988,0:00:00.035626
DeckStack_npy,10000,48,0 days 00:00:00.008541,0.49603271484375,0:00:00,0:00:00.100244
DeckStack_bin,10000,49,0 days 00:00:00.094233,0.49591064453125,0:00:00,0:00:00.045250
DeckStack_npy,10000,50,0 days 00:00:00.021354,0.49603271484375,0:00:00.038315,0:00:00.117523
DeckStack_bin,10000,51,0 days 00:00:00.123298,0.49591064453125,0:00:00.003103,0:00:00.047769
DeckStack_npy,10000,52,0 days 00:00:00.011019,0.49603271484375,0:00:00.037298,0:00:00.112302
DeckStack_bin,10000,53,0 days 00:00:00.098168,0.49591064453125,0:00:00,0:00:00.044564
DeckStack_npy,10000,54,0 days 00:00:00.015936,0.49603271484375,0:00:00.047618,0:00:00.396908
DeckStack_bin,10000,55,0 days 00:00:00.085606,0.49591064453125,0:00:00.007074,0:00:00.028903
DeckStack_npy,10000,56,0 days 00:00:00.022448,0.49603271484375,0:00:00.006635,0:00:00.207680
DeckStack_bin,10000,57,0 days 00:00:00.112735,0.49591064453125,0:00:00.002750,0:00:00.041920
DeckStack_npy,10000,58,0 days 00:00:00.018123,0.49603271484375,0:00:00.038432,0:00:00.171725
DeckStack_bin,10000,59,0 days 00:00:00.094703,0.49591064453125,0:00:00.005722,0:00:00.042449
DeckStack_npy,10000,60,0 days 00:00:00.012525,0.49603271484375,0:00:00.051982,0:00:00.115885
DeckStack_bin,10000,61,0 days 00:00:00.100398,0.49591064453125,0:00:00.006341,0:00:00.038738
DeckStack_npy,10000,62,0 days 00:00:00.030415,0.49603271484375,0:00:00.006490,0:00:00.111964
DeckStack_bin,10000,63,0 days 00:00:00.096016,0.49591064453125,0:00:00.004669,0:00:00.035647
DeckStack_npy,10000,64,0 days 00:00:00.025574,0.49603271484375,0:00:00.036904,0:00:00.122164
DeckStack_bin,10000,65,0 days 00:00:00.083234,0.49591064453125,0:00:00,0:00:00.023321
DeckStack_npy,10000,66,0 days 00:00:00.021067,0.49603271484375,0:00:00.039189,0:00:00.130403
DeckStack_bin,10000,67,0 days 00:00:00.100075,0.49591064453125,0:00:00.004842,0:00:00.041054
DeckStack_npy,10000,68,0 days 00:00:00.023841,0.49603271484375,0:00:00,0:00:00.176904
DeckStack_bin,10000,69,0 days 00:00:00.105375,0.49591064453125,0:00:00.002006,0:00:00.035513
DeckStack_npy,10000,70,0 days 00:00:00.015813,0.49603271484375,0:00:00.041230,0:00:00.168202
DeckStack_bin,10000,71,0 days 00:00:00.095826,0.49591064453125,0:00:00.012717,0:00:00.021115
DeckStack_npy,10000,72,0 days 00:00:00.018518,0.49603271484375,0:00:00.038851,0:00:00.125250
DeckStack_bin,10000,73,0 days 00:00:00.094212,0.49591064453125,0:00:00.008836,0:00:00.019757
DeckStack_npy,10000,74,0 days 00:00:00.015305,0.49603271484375,0:00:00.049302,0:00:00.156991
DeckStack_bin,10000,75,0 days 00:00:00.092801,0.49591064453125,0:00:00.009702,0:00:00.039144
DeckStack_npy,10000,76,0 days 00:00:00.016776,0.49603271484375,0:00:00.042164,0:00:00.175356
DeckStack_bin,10000,77,0 days 00:00:00.095419,0.49591064453125,0:00:00.006116,0:00:00.051389
DeckStack_npy,10000,78,0 days 00:00:00.016019,0.49603271484375,0:00:00.037051,0:00:00.140858
DeckStack_bin,10000,79,0 days 00:00:00.096660,0.49591064453125,0:00:00.003876,0:00:00.040069
DeckStack_npy,10000,80,0 days 00:00:00.031642,0.49603271484375,0:00:00.037118,0:00:00.166054
DeckStack_bin,10000,81,0 days 00:00:00.092924,0.49591064453125,0:00:00.015033,0:00:00.042846
DeckStack_npy,10000,82,0 days 00:00:00.015936,0.49603271484375,0:00:00.045810,0:00:00.119772
DeckStack_bin,10000,83,0 days 00:00:00.093300,0.49591064453125,0:00:00.051739,0:00:00.042523
DeckStack_npy,10000,84,0 days 00:00:00.057866,0.49603271484375,0:00:00.043930,0:00:00.110564
DeckStack_bin,10000,85,0 days 00:00:00.323894,0.49591064453125,0:00:00.007167,0:00:00.045026
DeckStack_npy,10000,86,0 days 00:00:00.064092,0.49603271484375,0:00:00.045762,0:00:00.173092
DeckStack_bin,10000,87,0 days 00:00:00.388226,0.49591064453125,0:00:00.010012,0:00:00.045507
DeckStack_npy,10000,88,0 days 00:00:00.063418,0.49603271484375,0:00:00.040644,0:00:00.201510
DeckStack_bin,10000,89,0 days 00:00:00.333344,0.49591064453125,0:00:00.013949,0:00:00.044443
DeckStack_npy,10000,90,0 days 00:00:00.066489,0.49603271484375,0:00:00.002024,0:00:00.138279
DeckStack_bin,10000,91,0 days 00:00:00.436107,0.49591064453125,0:00:00.008352,0:00:00.048476
DeckStack_npy,10000,92,0 days 00:00:00.076460,0.49603271484375,0:00:00.038539,0:00:00.147022
DeckStack_bin,10000,93,0 days 00:00:00.326357,0.49591064453125,0:00:00.014622,0:00:00.041673
DeckStack_npy,10000,94,0 days 00:00:00.060840,0.49603271484375,0:00:00.039296,0:00:00.118750
DeckStack_bin,10000,95,0 days 00:00:00.386201,0.49591064453125,0:00:00.015826,0:00:00.047418
DeckStack_npy,10000,96,0 days 00:00:00.059452,0.49603271484375,0:00:00.039906,0:00:00.188632
DeckStack_bin,10000,97,0 days 00:00:00.385093,0.49591064453125,0:00:00.009098,0:00:00.057383
DeckStack_npy,10000,98,0 days 00:00:00.064259,0.49603271484375,0:00:00.038021,0:00:00.272576
DeckStack_bin,10000,99,0 days 00:00:00.333393,0.49591064453125,0:00:00.014424,0:00:00.029327
DeckStack_npy,10000,100,0 days 00:00:00.077456,0.49603271484375,0:00:00.036435,0:00:00.183487
DeckStack_bin,10000,101,0 days 00:00:00.403806,0.49591064453125,0:00:00.024689,0:00:00.036019
DeckStack_npy,10000,102,0 days 00:00:00.063554,0.49603271484375,0:00:00.002014,0:00:00.721720
DeckStack_bin,10000,103,0 days 00:00:00.329655,0.49591064453125,0:00:00.016877,0:00:00.032559
DeckStack_npy,10000,104,0 days 00:00:00.065320,0.49603271484375,0:00:00.039840,0:00:00.178089
DeckStack_bin,10000,105,0 days 00:00:00.439770,0.49591064453125,0:00:00.010132,0:00:00.047692
DeckStack_npy,10000,106,0 days 00:00:00.088701,0.49603271484375,0:00:00.037484,0:00:00.123068
DeckStack_bin,10000,107,0 days 00:00:00.331952,0.49591064453125,0:00:00.024172,0:00:00.043819
DeckStack_npy,10000,108,0 days 00:00:00.061658,0.49603271484375,0:00:00.042034,0:00:00.095223
DeckStack_bin,10000,109,0 days 00:00:00.363320,0.49591064453125,0:00:00.016301,0:00:00.033695
DeckStack_npy,10000,110,0 days 00:00:00.055958,0.49603271484375,0:00:00.039429,0:00:00.131656
DeckStack_bin,10000,111,0 days 00:00:00.415381,0.49591064453125,0:00:00.018337,0:00:00.046222
DeckStack_npy,10000,112,0 days 00:00:00.064031,0.49603271484375,0:00:00.043531,0:00:00.135539
DeckStack_bin,10000,113,0 days 00:00:00.386092,0.49591064453125,0:00:00.023901,0:00:00.039222
DeckStack_npy,10000,114,0 days 00:00:00.068814,0.49603271484375,0:00:00,0:00:00.219542
DeckStack_bin,10000,115,0 days 00:00:00.345600,0.49591064453125,0:00:00.003065,0:00:00.048786
DeckStack_npy,10000,116,0 days 00:00:00.053413,0.49603271484375,0:00:00.049242,0:00:00.109263
DeckStack_bin,10000,117,0 days 00:00:00.314472,0.49591064453125,0:00:00.015971,0:00:00.034347
DeckStack_npy,10000,118,0 days 00:00:00.066440,0.49603271484375,0:00:00.040221,0:00:00.114946
DeckStack_bin,10000,119,0 days 00:00:00.319931,0.49591064453125,0:00:00.017842,0:00:00.032039
DeckStack_npy,10000,120,0 days 00:00:00.064487,0.49603271484375,0:00:00.041922,0:00:00.109873
DeckStack_bin,10000,121,0 days 00:00:00.313500,0.49591064453125,0:00:00.016770,0:00:00.040156
DeckStack_npy,10000,122,0 days 00:00:00.060537,0.49603271484375,0:00:00.023335,0:00:00.117410
DeckStack_bin,10000,123,0 days 00:00:00.365134,0.49591064453125,0:00:00.015695,0:00:00.047686
DeckStack_npy,10000,124,0 days 00:00:00.031539,0.49603271484375,0:00:00.038477,0:00:00.120823
DeckStack_bin,10000,125,0 days 00:00:00.095192,0.49591064453125,0:00:00.005602,0:00:00.043773
DeckStack_npy,10000,126,0 days 00:00:00.024314,0.49603271484375,0:00:00.040114,0:00:00.101093
DeckStack_bin,10000,127,0 days 00:00:00.111037,0.49591064453125,0:00:00.016980,0:00:00.057248
DeckStack_npy,10000,128,0 days 00:00:00.015972,0.49603271484375,0:00:00.044523,0:00:00.115524
DeckStack_bin,10000,129,0 days 00:00:00.105354,0.49591064453125,0:00:00.009525,0:00:00.041725
DeckStack_npy,10000,130,0 days 00:00:00.019518,0.49603271484375,0:00:00.041752,0:00:00.103895
DeckStack_bin,10000,131,0 days 00:00:00.097977,0.49591064453125,0:00:00.002875,0:00:00.028853
DeckStack_npy,10000,132,0 days 00:00:00.021250,0.49603271484375,0:00:00.043961,0:00:00.114832
DeckStack_bin,10000,133,0 days 00:00:00.108933,0.49591064453125,0:00:00.004586,0:00:00.049545
DeckStack_npy,10000,134,0 days 00:00:00.018587,0.49603271484375,0:00:00.042338,0:00:00.128984
DeckStack_bin,10000,135,0 days 00:00:00.133653,0.49591064453125,0:00:00.008689,0:00:00.046544
DeckStack_npy,10000,136,0 days 00:00:00.042633,0.49603271484375,0:00:00.005756,0:00:00.128942
DeckStack_bin,10000,137,0 days 00:00:00.166694,0.49591064453125,0:00:00.007860,0:00:00.046395
DeckStack_npy,10000,138,0 days 00:00:00.022310,0.49603271484375,0:00:00,0:00:00.177363
DeckStack_bin,10000,139,0 days 00:00:00.130317,0.49591064453125,0:00:00.013596,0:00:00.036685
DeckStack_npy,10000,140,0 days 00:00:00.031855,0.49603271484375,0:00:00.037553,0:00:00.131913
DeckStack_bin,10000,141,0 days 00:00:00.116401,0.49591064453125,0:00:00.010061,0:00:00.048428
DeckStack_npy,10000,142,0 days 00:00:00.027795,0.49603271484375,0:00:00.038967,0:00:00.166124
DeckStack_bin,10000,143,0 days 00:00:00.124613,0.49591064453125,0:00:00.008475,0:00:00.047086
DeckStack_npy,10000,144,0 days 00:00:00.024974,0.49603271484375,0:00:00,0:00:00.133631
DeckStack_bin,10000,145,0 days 00:00:00.114403,0.49591064453125,0:00:00.004828,0:00:00.045518
DeckStack_npy,10000,146,0 days 00:00:00.021027,0.49603271484375,0:00:00,0:00:00.112158
