score_type,score_time
ScoringDeck,0 days 00:00:00.957373
ScoringDeck,0 days 00:00:00.924051
ScoringDeck,0 days 00:00:01.025938
ScoringDeck,0 days 00:00:00.901146
ScoringDeck,0 days 00:00:00.927978
ScoringDeck,0 days 00:00:00.916296
ScoringDeck,0 days 00:00:00.971557
ScoringDeck,0 days 00:00:00.915907
ScoringDeck,0 days 00:00:00.938029
ScoringDeck,0 days 00:00:00.935583
ScoringDeck,0 days 00:00:00.882260
ScoringDeck,0 days 00:00:00.913758
ScoringDeck,0 days 00:00:00.971847
ScoringDeck,0 days 00:00:00.925233
ScoringDeck,0 days 00:00:00.873861
ScoringDeck,0 days 00:00:00.944403
ScoringDeck,0 days 00:00:00.946119
ScoringDeck,0 days 00:00:00.923244
ScoringDeck,0 days 00:00:00.939252
ScoringDeck,0 days 00:00:00.920591
ScoringDeck,0 days 00:00:00.965934
ScoringDeck,0 days 00:00:00.983097
ScoringDeck,0 days 00:00:00.969935
ScoringDeck,0 days 00:00:00.876311
ScoringDeck,0 days 00:00:01.064048
ScoringDeck,0 days 00:00:00.984308
ScoringDeck,0 days 00:00:00.968939
ScoringDeck,0 days 00:00:00.972539
ScoringDeck,0 days 00:00:00.959941
ScoringDeck,0 days 00:00:00.975390
ScoringDeck,0 days 00:00:00.915383
ScoringDeck,0 days 00:00:00.994582
ScoringDeck,0 days 00:00:00.965636
ScoringDeck,0 days 00:00:00.997546
ScoringDeck,0 days 00:00:00.960378
ScoringDeck,0 days 00:00:00.940889
ScoringDeck,0 days 00:00:00.997142
ScoringDeck,0 days 00:00:00.970832
ScoringDeck,0 days 00:00:00.913413
ScoringDeck,0 days 00:00:00.981294
ScoringDeck,0 days 00:00:00.901437
ScoringDeck,0 days 00:00:00.982088
ScoringDeck,0 days 00:00:00.951550
ScoringDeck,0 days 00:00:00.903113
ScoringDeck,0 days 00:00:00.947534
ScoringDeck,0 days 00:00:00.929483
ScoringDeck,0 days 00:00:00.896852
ScoringDeck,0 days 00:00:00.820373
ScoringDeck,0 days 00:00:00.855149
ScoringDeck,0 days 00:00:00.879602
ScoringDeck,0 days 00:00:00.849333
ScoringDeck,0 days 00:00:00.878631
ScoringDeck,0 days 00:00:00.934973
ScoringDeck,0 days 00:00:00.877264
ScoringDeck,0 days 00:00:00.854443
ScoringDeck,0 days 00:00:00.829565
ScoringDeck,0 days 00:00:00.851513
ScoringDeck,0 days 00:00:00.843681
ScoringDeck,0 days 00:00:00.834982
ScoringDeck,0 days 00:00:00.835535
ScoringDeck,0 days 00:00:00.887173
ScoringDeck,0 days 00:00:00.907606
ScoringDeck,0 days 00:00:00.933452
ScoringDeck,0 days 00:00:00.871487
ScoringDeck,0 days 00:00:00.833180
ScoringDeck,0 days 00:00:00.739959
ScoringDeck,0 days 00:00:00.783606
ScoringDeck,0 days 00:00:00.905280
ScoringDeck,0 days 00:00:00.821087
ScoringDeck,0 days 00:00:00.539937
ScoringDeck,0 days 00:00:00.445410
ScoringDeck,0 days 00:00:00.434413
ScoringDeck,0 days 00:00:00.430546
ScoringDeck,0 days 00:00:00.462418
ScoringDeck,0 days 00:00:00.443645
ScoringDeck,0 days 00:00:00.431482
ScoringDeck,0 days 00:00:00.458191
ScoringDeck,0 days 00:00:00.470222
ScoringDeck,0 days 00:00:00.441579
ScoringDeck,0 days 00:00:00.380373
ScoringDeck,0 days 00:00:00.395644
ScoringDeck,0 days 00:00:00.428182
ScoringDeck,0 days 00:00:00.476440
ScoringDeck,0 days 00:00:00.426807
ScoringDeck,0 days 00:00:00.481150
ScoringDeck,0 days 00:00:00.510219
ScoringDeck,0 days 00:00:00.428199
ScoringDeck,0 days 00:00:00.397218
ScoringDeck,0 days 00:00:00.415067
ScoringDeck,0 days 00:00:00.447607
ScoringDeck,0 days 00:00:00.428852
ScoringDeck,0 days 00:00:00.457477
ScoringDeck,0 days 00:00:00.460417
ScoringDeck,0 days 00:00:00.489289
ScoringDeck,0 days 00:00:00.433605
ScoringDeck,0 days 00:00:00.408135
ScoringDeck,0 days 00:00:00.427749
ScoringDeck,0 days 00:00:00.438865
ScoringDeck,0 days 00:00:00.416873
ScoringDeck,0 days 00:00:00.452986
ScoringDeck,0 days 00:00:00.530190
ScoringDeck,0 days 00:00:00.460737
ScoringDeck,0 days 00:00:00.442486
ScoringDeck,0 days 00:00:00.461936
ScoringDeck,0 days 00:00:00.428666
ScoringDeck,0 days 00:00:00.410607
ScoringDeck,0 days 00:00:00.437648
ScoringDeck,0 days 00:00:00.418832
ScoringDeck,0 days 00:00:00.458105
ScoringDeck,0 days 00:00:00.532983
ScoringDeck,0 days 00:00:00.612506
ScoringDeck,0 days 00:00:00.474470
ScoringDeck,0 days 00:00:00.453900
ScoringDeck,0 days 00:00:00.507929
ScoringDeck,0 days 00:00:00.443623
ScoringDeck,0 days 00:00:00.457103
ScoringDeck,0 days 00:00:00.539576
ScoringDeck,0 days 00:00:00.458523
ScoringDeck,0 days 00:00:00.459073
ScoringDeck,0 days 00:00:00.449250
ScoringDeck,0 days 00:00:00.441636
ScoringDeck,0 days 00:00:00.470847
ScoringDeck,0 days 00:00:00.502497
ScoringDeck,0 days 00:00:00.577939
ScoringDeck,0 days 00:00:00.550059
ScoringDeck,0 days 00:00:00.486908
ScoringDeck,0 days 00:00:00.448781
ScoringDeck,0 days 00:00:00.555440
ScoringDeck,0 days 00:00:00.446982
ScoringDeck,0 days 00:00:00.459031
ScoringDeck,0 days 00:00:00.454026
ScoringDeck,0 days 00:00:00.459603
ScoringDeck,0 days 00:00:00.414039
ScoringDeck,0 days 00:00:00.473542
ScoringDeck,0 days 00:00:00.520694
ScoringDeck,0 days 00:00:00.750666
ScoringDeck,0 days 00:00:00.622865
ScoringDeck,0 days 00:00:00.450449
ScoringDeck,0 days 00:00:00.431387
ScoringDeck,0 days 00:00:00.395450
ScoringDeck,0 days 00:00:00.404033
ScoringDeck,0 days 00:00:00.426937
ScoringDeck,0 days 00:00:00.459321
ScoringDeck,0 days 00:00:00.476322
ScoringDeck,0 days 00:00:00.475259
ScoringDeck,0 days 00:00:00.461547
ScoringDeck,0 days 00:00:00.479817
ScoringDeck,0 days 00:00:00.432507
ScoringDeck,0 days 00:00:00.419305
ScoringDeck,0 days 00:00:00.437119
ScoringDeck,0 days 00:00:00.564348
ScoringDeck,0 days 00:00:00.595628
ScoringDeck,0 days 00:00:00.596695
ScoringDeck,0 days 00:00:00.519775
ScoringDeck,0 days 00:00:00.479070
ScoringDeck,0 days 00:00:00.512908
ScoringDeck,0 days 00:00:00.634035
ScoringDeck,0 days 00:00:00.559132
ScoringDeck,0 days 00:00:00.548008
ScoringDeck,0 days 00:00:00.528087
ScoringDeck,0 days 00:00:00.556058
ScoringDeck,0 days 00:00:00.508110
ScoringDeck,0 days 00:00:00.564398
ScoringDeck,0 days 00:00:00.659545
