score_type,score_time
ScoringDeckPd,0 days 00:00:00.016048
ScoringDeckPd,0 days 00:00:00.013766
ScoringDeckPd,0 days 00:00:00.030894
ScoringDeckPd,0 days 00:00:00.021450
ScoringDeck,0 days 00:00:00.533178
ScoringDeck,0 days 00:00:00.462100
ScoringDeck,0 days 00:00:00.445190
ScoringDeck,0 days 00:00:00.461790
ScoringDeck,0 days 00:00:00.511474
ScoringDeck,0 days 00:00:00.460469
ScoringDeck,0 days 00:00:00.461424
ScoringDeck,0 days 00:00:00.458442
ScoringDeck,0 days 00:00:00.468414
ScoringDeck,0 days 00:00:00.553934
ScoringDeck,0 days 00:00:00.538544
ScoringDeck,0 days 00:00:00.535141
ScoringDeck,0 days 00:00:00.472848
ScoringDeck,0 days 00:00:00.450484
ScoringDeck,0 days 00:00:00.439664
ScoringDeck,0 days 00:00:00.449712
ScoringDeck,0 days 00:00:00.435386
ScoringDeck,0 days 00:00:00.452463
ScoringDeck,0 days 00:00:00.500185
ScoringDeck,0 days 00:00:00.492550
ScoringDeck,0 days 00:00:00.478545
ScoringDeck,0 days 00:00:00.485068
ScoringDeck,0 days 00:00:00.435968
ScoringDeck,0 days 00:00:00.458909
ScoringDeck,0 days 00:00:00.458555
ScoringDeck,0 days 00:00:00.446108
ScoringDeck,0 days 00:00:00.435994
ScoringDeck,0 days 00:00:00.525525
ScoringDeck,0 days 00:00:00.694555
ScoringDeck,0 days 00:00:00.513172
ScoringDeck,0 days 00:00:00.462333
ScoringDeck,0 days 00:00:00.506257
ScoringDeck,0 days 00:00:00.449620
ScoringDeck,0 days 00:00:00.431389
ScoringDeck,0 days 00:00:00.448022
ScoringDeck,0 days 00:00:00.521479
ScoringDeck,0 days 00:00:00.627277
ScoringDeck,0 days 00:00:00.473261
ScoringDeck,0 days 00:00:00.420927
ScoringDeck,0 days 00:00:00.440195
ScoringDeck,0 days 00:00:00.537127
ScoringDeck,0 days 00:00:00.498806
ScoringDeck,0 days 00:00:00.484238
ScoringDeck,0 days 00:00:00.554713
